Algorithm,File,Dataset,Avg_AF,Avg_Recall,QPS,Avg_Approx_Time,Avg_Exact_Time,k,L,w,kclusters,nprobe,M,nbits,kproj,probes
LSH,lsh_L5.dat,SIFT,1.27057,0.0152,695.051,6.27005,0.00113119,4.0,5.0,4.0,,,,,,
IVFFlat,ivfflat_nprobe20.dat,SIFT,0.0602311,0.978,557.6,0.000450787,0.0011133,,,,50.0,20.0,,,,
IVFPQ,ivfpq_M8.dat,SIFT,2.68196,0.7228,125.007,0.0058194,0.00193576,,,,50.0,5.0,8.0,8.0,,
LSH,lsh_k8.dat,SIFT,1.12146,0.1124,430.714,0.00048145,0.00112769,8.0,5.0,4.0,,,,,,
LSH,lsh_k6.dat,SIFT,1.12574,0.1102,442.709,0.000430036,0.0011593,6.0,5.0,4.0,,,,,,
IVFPQ,ivfpq_nprobe5.dat,SIFT,2.68893,0.6497,185.665,0.00320706,0.00194634,,,,50.0,5.0,16.0,8.0,,
Hypercube,hypercube_M100.dat,SIFT,1.14526,0.088,635.23,0.000175387,0.00122034,,,4.0,,,100.0,,14.0,2.0
LSH,lsh_w2.5.dat,SIFT,1.11922,0.1172,450.231,0.000381183,0.00118378,4.0,5.0,2.5,,,,,,
Hypercube,hypercube_kproj14.dat,SIFT,1.3297,0.0136,604.067,0.000250429,0.00122042,,,4.0,,,10.0,,14.0,2.0
LSH,lsh_k4.dat,SIFT,1.11716,0.1186,482.779,0.000353751,0.00113662,4.0,5.0,4.0,,,,,,
IVFPQ,ivfpq_M4.dat,SIFT,1.92625,0.6747,136.5,0.00517396,0.00191567,,,,50.0,5.0,4.0,8.0,,
Hypercube,hypercube_w4.5.dat,SIFT,1.15111,0.0784,635.364,0.000176951,0.00121772,,,4.5,,,10.0,,14.0,2.0
Hypercube,hypercube_w4.0.dat,SIFT,1.14956,0.0798,630.78,0.000178031,0.0012295,,,4.0,,,10.0,,14.0,2.0
IVFFlat,ivfflat_nprobe10.dat,SIFT,0.0602558,0.8862,576.86,0.000392391,0.0011121,,,,50.0,10.0,,,,
IVFPQ,ivfpq_nprobe10.dat,SIFT,2.68196,0.7228,126.099,0.0057332,0.00195414,,,,50.0,10.0,16.0,8.0,,
IVFFlat,ivfflat_nprobe40.dat,SIFT,0.0602281,0.9985,520.886,0.000563107,0.00112107,,,,50.0,40.0,,,,
Hypercube,hypercube_M150.dat,SIFT,1.14526,0.088,639.662,0.000176282,0.00121169,,,4.0,,,150.0,,14.0,2.0
LSH,lsh_w2.0.dat,SIFT,1.11848,0.1182,465.555,0.000369889,0.00115994,4.0,5.0,2.0,,,,,,
Hypercube,hypercube_kproj16.dat,SIFT,1.51352,0.0052,577.226,0.000343348,0.00122576,,,4.0,,,10.0,,16.0,2.0
LSH,lsh_L3.dat,SIFT,1.33041,0.0076,708.016,3.94918,0.00115059,4.0,3.0,4.0,,,,,,
IVFPQ,ivfpq_M16.dat,SIFT,3.67176,0.7547,113.395,0.0066296,0.00193642,,,,50.0,5.0,16.0,8.0,,
Hypercube,hypercube_kproj10.dat,SIFT,1.21814,0.0332,622.139,0.000129969,0.00128512,,,4.0,,,10.0,,10.0,2.0
IVFPQ,ivfpq_nprobe20.dat,SIFT,2.68086,0.7419,145.704,0.00551394,0.00111624,,,,50.0,20.0,16.0,8.0,,
LSH,lsh_w1.5.dat,SIFT,1.11716,0.1186,453.918,0.000376782,0.00118951,4.0,5.0,1.5,,,,,,
LSH,lsh_L10.dat,SIFT,1.2093,0.0376,640.318,0.000125417,0.00111675,4.0,10.0,4.0,,,,,,
IVFFlat,ivfflat_nprobe5.dat,SIFT,0.0603455,0.7088,591.73,0.000352372,0.00111571,,,,50.0,5.0,,,,
